# init omega gamma A f
3.485964607e-01 5.370712028e-01 1.482087026e-01 0.000000000e+00 3.565240392e+00
-1.381168838e+00 4.781727239e+00 1.152079241e-01 0.000000000e+00 6.015469395e+00
1.500195519e+00 2.033775013e+00 3.825271063e-01 0.000000000e+00 3.551085198e+00
-1.916918920e-01 3.999589257e+00 2.047673619e-01 0.000000000e+00 5.980710191e+00
1.023483676e-01 8.270324914e-01 1.776347631e-01 0.000000000e+00 3.343453185e+00
-1.560164617e+00 4.850424536e+00 2.898033715e-02 0.000000000e+00 4.406591975e+00
-7.810212888e-01 6.060160250e+00 2.729675952e-01 0.000000000e+00 3.764560021e+00
1.125659974e+00 2.876145912e+00 7.811007649e-02 0.000000000e+00 5.396642385e+00
-2.345631772e-01 3.989841134e+00 2.834103111e-01 0.000000000e+00 4.279644115e+00
7.404716413e-01 1.075469113e+00 4.494286140e-01 0.000000000e+00 6.088329101e+00
1.325215701e+00 5.240448882e+00 2.453281103e-01 0.000000000e+00 3.456159837e+00
-1.088091103e+00 3.282498748e+00 1.255295748e-01 0.000000000e+00 4.478355005e+00
1.545693981e+00 3.630855048e+00 3.775054681e-02 0.000000000e+00 4.910898009e+00
-9.974782019e-01 1.509315861e+00 2.601901740e-01 0.000000000e+00 5.394794907e+00
1.381954513e+00 1.649508253e+00 2.490208553e-01 0.000000000e+00 3.737047768e+00
-1.297187206e+00 8.985412108e-01 1.566868869e-01 0.000000000e+00 3.231623081e+00
-9.981835467e-02 3.393663368e+00 1.928427107e-01 0.000000000e+00 5.303235969e+00
1.033026088e+00 4.142258486e+00 1.625488886e-01 0.000000000e+00 4.060108261e+00
-6.874958943e-01 3.443138459e+00 7.500660233e-02 0.000000000e+00 3.524626176e+00
1.158947345e+00 4.348520291e+00 8.393759706e-02 0.000000000e+00 5.133130680e+00
1.495948043e+00 5.402619388e+00 2.337394320e-01 0.000000000e+00 5.194671093e+00
1.072980884e+00 4.337609977e+00 1.414059459e-01 0.000000000e+00 5.927348592e+00
-1.605368950e-01 3.251949940e+00 2.529687815e-01 0.000000000e+00 6.088879725e+00
-4.066035305e-01 5.049500838e+00 3.312385641e-01 0.000000000e+00 3.229356747e+00
-5.441796778e-02 1.343531067e-01 4.973015367e-01 0.000000000e+00 4.319389066e+00
-1.280549943e+00 1.955146095e+00 3.468092658e-01 0.000000000e+00 3.344597695e+00
-8.582150501e-01 5.983326638e+00 3.171149485e-02 0.000000000e+00 3.454478239e+00
1.148179834e-01 3.740435200e+00 4.627956639e-01 0.000000000e+00 5.840841443e+00
7.323473847e-01 5.184138006e+00 4.882065912e-01 0.000000000e+00 4.170520837e+00
-1.604201228e-01 2.887414055e+00 2.456989084e-01 0.000000000e+00 4.330967393e+00
-6.107275833e-01 6.086336744e+00 3.097698393e-01 0.000000000e+00 6.267296564e+00
1.404709154e+00 5.406308056e+00 1.030275393e-01 0.000000000e+00 5.749691602e+00
7.882462462e-01 1.249207524e+00 4.641198492e-02 0.000000000e+00 5.497642641e+00
-8.776783600e-02 1.624347999e+00 4.384206769e-01 0.000000000e+00 4.911449643e+00
-1.341537381e-01 2.124103189e+00 6.898048889e-02 0.000000000e+00 5.830396729e+00
7.735007022e-01 3.992925222e+00 2.048620306e-01 0.000000000e+00 6.104534258e+00
1.115955616e+00 2.243714580e+00 1.743371726e-01 0.000000000e+00 5.590855067e+00
-6.484051075e-01 2.264606421e+00 1.033836795e-01 0.000000000e+00 5.386427550e+00
7.326075279e-01 9.049668536e-01 1.857331831e-01 0.000000000e+00 4.674684726e+00
9.697284060e-01 1.741255571e+00 2.593549307e-01 0.000000000e+00 5.402495605e+00
1.215453099e+00 1.027379172e+00 3.787147631e-01 0.000000000e+00 3.802865392e+00
-1.492023717e+00 2.685745108e+00 3.945093724e-01 0.000000000e+00 3.226887298e+00
3.940526575e-02 3.786093757e+00 3.951616691e-01 0.000000000e+00 3.393118598e+00
3.541470364e-01 2.852626650e+00 4.206084269e-01 0.000000000e+00 3.347614358e+00
-6.897042919e-01 5.482145068e+00 3.814354466e-01 0.000000000e+00 4.341617761e+00
-1.503063786e-01 6.109524607e+00 3.673162194e-01 0.000000000e+00 3.287253113e+00
9.803421950e-02 5.252410985e+00 1.939735746e-01 0.000000000e+00 5.186840367e+00
1.534312529e+00 2.633215780e+00 2.281183481e-01 0.000000000e+00 3.390457041e+00
-1.551228550e+00 2.295413142e+00 3.125767407e-01 0.000000000e+00 5.595200403e+00
-9.379547833e-01 4.031115780e+00 1.658034903e-01 0.000000000e+00 5.618127972e+00
-7.634099995e-01 3.953163195e+00 3.004066123e-01 0.000000000e+00 5.338084628e+00
-5.000612054e-01 3.989439419e+00 3.903368876e-01 0.000000000e+00 5.025803477e+00
-1.403573838e+00 1.859311526e+00 3.862925045e-01 0.000000000e+00 4.958957422e+00
-5.448072845e-01 2.132313665e+00 2.886135751e-02 0.000000000e+00 5.204971353e+00
-9.471552294e-01 5.181460039e+00 4.475872006e-01 0.000000000e+00 6.085164255e+00
1.033734815e+00 4.332249609e+00 4.513752385e-02 0.000000000e+00 5.327964628e+00
4.305619139e-01 1.280155295e+00 1.732237401e-01 0.000000000e+00 4.842025971e+00
-1.301716090e+00 4.883705885e+00 1.716909109e-01 0.000000000e+00 3.199060200e+00
-8.786962269e-01 3.299487536e+00 3.752382939e-01 0.000000000e+00 4.342935026e+00
5.688926577e-01 4.694281534e+00 3.440761778e-01 0.000000000e+00 5.994440180e+00
-1.147952319e+00 2.869410918e+00 7.079503715e-02 0.000000000e+00 5.664830516e+00
1.433452989e+00 1.387417097e+00 1.414564016e-02 0.000000000e+00 4.398128114e+00
-1.141314711e+00 4.307981043e+00 3.896165679e-03 0.000000000e+00 3.414826852e+00
9.347847164e-01 5.227070312e+00 3.040795969e-01 0.000000000e+00 4.738087108e+00
-5.358339286e-03 3.350209812e+00 4.943584793e-01 0.000000000e+00 3.997852685e+00
-6.132177360e-01 5.568417641e+00 8.098600491e-02 0.000000000e+00 4.584160249e+00
-8.345929961e-01 6.160372432e+00 4.585507517e-01 0.000000000e+00 6.074010727e+00
1.234045642e+00 3.981225548e+00 4.194222260e-01 0.000000000e+00 4.348350921e+00
-3.845353776e-01 5.119034197e+00 1.558718869e-01 0.000000000e+00 4.912342602e+00
-1.330275282e+00 5.478544889e+00 3.490791552e-01 0.000000000e+00 3.964646341e+00
-1.463846477e+00 5.867729550e+00 3.260834801e-01 0.000000000e+00 5.414574769e+00
-1.205341682e-01 3.245123256e+00 2.615788247e-01 0.000000000e+00 5.719300390e+00
1.173807237e+00 5.444216765e+00 2.086698717e-01 0.000000000e+00 6.047464344e+00
-4.690861982e-01 2.017115651e+00 1.774502385e-01 0.000000000e+00 3.619936912e+00
1.015854532e+00 9.458391104e-01 2.339614178e-03 0.000000000e+00 4.170664862e+00
1.404205094e+00 5.474462396e+00 2.865626005e-01 0.000000000e+00 4.983282355e+00
-1.359492171e+00 2.492113393e+00 1.303994313e-02 0.000000000e+00 4.697509285e+00
-6.347821155e-01 2.774780025e+00 1.949062651e-01 0.000000000e+00 3.650891515e+00
3.741655914e-01 2.102188707e+00 1.185436850e-01 0.000000000e+00 4.854277339e+00
-6.224816710e-01 5.687696276e+00 9.525749675e-02 0.000000000e+00 4.570662070e+00
-1.020982143e+00 1.868757959e-01 4.425434262e-01 0.000000000e+00 4.812207257e+00
-1.411368702e-02 3.184773620e+00 3.846909166e-02 0.000000000e+00 5.614284695e+00
8.181910568e-01 3.143588016e+00 2.541431426e-01 0.000000000e+00 4.108331830e+00
5.880013520e-01 6.161952114e+00 2.556228661e-01 0.000000000e+00 4.979415052e+00
-7.907939924e-01 5.695090880e+00 2.159312799e-01 0.000000000e+00 4.524476860e+00
3.832263064e-01 4.761841927e+00 5.604246332e-02 0.000000000e+00 4.963882535e+00
-5.788411310e-01 1.833880909e+00 4.934488005e-01 0.000000000e+00 4.135995559e+00
-6.995404500e-01 4.752656094e+00 1.554527331e-01 0.000000000e+00 4.422918874e+00
1.349776762e+00 2.717915722e+00 4.390799777e-01 0.000000000e+00 3.565603145e+00
-6.920708550e-01 1.836750084e+00 3.501738185e-01 0.000000000e+00 5.365029775e+00
1.409341949e+00 3.799369376e+00 2.690250343e-01 0.000000000e+00 4.450272492e+00
-9.356655169e-01 5.617381276e+00 3.456938103e-01 0.000000000e+00 4.256812982e+00
2.056022220e-01 3.301347635e+00 1.197747161e-01 0.000000000e+00 3.631271120e+00
-3.758481705e-01 5.110924735e+00 2.648411782e-01 0.000000000e+00 6.240027958e+00
9.674551235e-01 3.305383011e+00 4.636412079e-01 0.000000000e+00 3.942331885e+00
-1.169481483e+00 1.573769771e+00 4.980080148e-01 0.000000000e+00 3.216922950e+00
1.417206191e+00 5.057315604e+00 2.308838513e-01 0.000000000e+00 4.273760569e+00
7.185179018e-01 5.977910801e+00 3.656771751e-01 0.000000000e+00 5.844848540e+00
-1.018788707e+00 3.259256286e+00 9.710257996e-02 0.000000000e+00 4.972720235e+00
6.052635538e-01 1.338950849e-01 1.075014642e-01 0.000000000e+00 5.801834861e+00
-1.278504305e+00 3.705102586e+00 1.273656402e-01 0.000000000e+00 5.058414970e+00
1.771009316e-01 1.118662085e-01 3.778820811e-01 0.000000000e+00 5.105561642e+00
-1.248168417e+00 2.943648390e-01 4.990029901e-01 0.000000000e+00 4.331559035e+00
-1.432803222e+00 4.297273412e+00 1.442776059e-01 0.000000000e+00 5.076388983e+00
-3.369518090e-01 2.164941711e+00 3.824768052e-01 0.000000000e+00 4.142142298e+00
5.999097524e-01 2.184065599e+00 3.299087237e-01 0.000000000e+00 3.394227465e+00
7.127091344e-01 3.985165953e+00 3.581466380e-01 0.000000000e+00 5.536516689e+00
5.307592194e-01 4.283528515e-01 4.483451901e-01 0.000000000e+00 5.355628065e+00
2.874818637e-01 6.260440039e+00 4.540866012e-01 0.000000000e+00 4.487140804e+00
1.190061732e+00 1.002236915e+00 2.122874151e-03 0.000000000e+00 3.458324419e+00
1.182450303e-01 4.866336348e+00 4.103444876e-01 0.000000000e+00 5.566036227e+00
-1.262837671e+00 5.670464672e+00 4.144393680e-01 0.000000000e+00 3.611120328e+00
-1.126331114e+00 4.159748973e+00 4.019231486e-01 0.000000000e+00 3.715103568e+00
1.451559480e+00 4.073025109e+00 4.999136471e-01 0.000000000e+00 5.112728719e+00
9.360462593e-01 5.658441167e+00 9.615188636e-02 0.000000000e+00 4.338799594e+00
-1.548793156e+00 8.663094861e-01 4.670276201e-01 0.000000000e+00 4.608200287e+00
1.399848247e+00 4.181722585e+00 1.772096223e-01 0.000000000e+00 5.792733376e+00
4.880269186e-01 2.516713081e+00 3.760985085e-01 0.000000000e+00 5.558508620e+00
1.289549547e+00 4.729232336e+00 4.361037284e-01 0.000000000e+00 5.972101606e+00
-1.090884168e+00 3.404838132e+00 3.163683929e-01 0.000000000e+00 6.003742034e+00
2.783054819e-01 3.381104494e+00 4.790681577e-01 0.000000000e+00 4.670834965e+00
1.182398279e-02 5.701741019e+00 6.093758333e-02 0.000000000e+00 5.260431805e+00
-1.024239797e+00 1.358547006e+00 4.789364683e-01 0.000000000e+00 4.120908390e+00
-1.372650063e+00 5.067628588e+00 4.169645381e-01 0.000000000e+00 3.221925325e+00
5.166817672e-01 9.065555539e-01 1.645560568e-01 0.000000000e+00 5.122816270e+00
-1.469817496e+00 3.729383948e+00 1.805563890e-01 0.000000000e+00 4.155262952e+00
-8.221914156e-01 1.611987927e+00 4.255139011e-02 0.000000000e+00 3.417832200e+00
4.844911216e-02 1.241090825e+00 3.802337838e-01 0.000000000e+00 4.629496933e+00
3.214035535e-01 6.263892841e+00 4.791802031e-01 0.000000000e+00 4.851401304e+00
-6.815070705e-01 3.429030862e+00 1.860876050e-01 0.000000000e+00 4.057074188e+00
1.077428210e+00 5.480894540e+00 3.469113933e-01 0.000000000e+00 3.311306786e+00
1.239375504e+00 4.578705689e+00 2.737556089e-01 0.000000000e+00 4.561423183e+00
7.008204542e-01 4.764129410e+00 3.544420715e-01 0.000000000e+00 3.251229204e+00
1.339340044e+00 4.142455537e+00 1.512323144e-01 0.000000000e+00 5.168642003e+00
-1.384748683e+00 2.492284996e+00 1.752669151e-01 0.000000000e+00 3.651751429e+00
-1.412536965e+00 1.717091832e+00 1.701410499e-01 0.000000000e+00 4.980730385e+00
-1.181016416e+00 2.687915147e+00 4.208542539e-01 0.000000000e+00 5.534626834e+00
-1.186667414e+00 3.660337465e+00 2.796572914e-01 0.000000000e+00 3.650612124e+00
9.781146574e-02 5.406326966e+00 3.590882886e-01 0.000000000e+00 3.906336912e+00
1.297253452e+00 5.523788677e+00 3.775542404e-01 0.000000000e+00 4.333688499e+00
-9.970527713e-01 2.565263032e+00 1.855808240e-01 0.000000000e+00 3.995408744e+00
1.543305951e+00 1.580061420e-01 7.094271707e-02 0.000000000e+00 4.568477310e+00
1.192901354e+00 2.631910312e+00 3.247706426e-01 0.000000000e+00 3.771687441e+00
-5.559193088e-01 3.421572803e+00 3.391565674e-01 0.000000000e+00 4.233165805e+00
-9.692686842e-01 3.196471097e+00 3.719548075e-01 0.000000000e+00 3.569533588e+00
-9.839396195e-03 6.654559499e-01 3.935716776e-01 0.000000000e+00 5.551277953e+00
-5.827672929e-01 5.453892950e+00 3.005159707e-01 0.000000000e+00 5.587365134e+00
-1.474843372e+00 4.201206732e+00 2.009379513e-01 0.000000000e+00 4.389670686e+00
-1.279162132e+00 5.705868802e+00 2.127547352e-02 0.000000000e+00 3.207505396e+00
2.795238955e-01 3.521949365e+00 1.185150264e-02 0.000000000e+00 4.725808752e+00
4.208805197e-01 4.843034331e+00 6.211901658e-02 0.000000000e+00 3.611632428e+00
1.464321681e+00 9.181845690e-01 1.321083118e-01 0.000000000e+00 5.002014143e+00
-1.523277791e+00 2.298732365e+00 3.615596143e-01 0.000000000e+00 6.053853184e+00
7.321223508e-01 4.522429033e-01 2.971245162e-01 0.000000000e+00 4.838033548e+00
4.171893660e-01 3.652878481e+00 2.009401441e-01 0.000000000e+00 6.067491841e+00
5.290652181e-03 3.959410218e+00 2.082182834e-01 0.000000000e+00 5.485799606e+00
-1.190259221e+00 2.117076473e+00 4.924845162e-02 0.000000000e+00 3.421196302e+00
1.123932812e+00 2.328819957e+00 1.236752641e-01 0.000000000e+00 3.917159043e+00
6.355701472e-01 2.683330529e+00 3.802495122e-01 0.000000000e+00 4.423988692e+00
2.154480499e-01 1.428718588e+00 2.291007224e-01 0.000000000e+00 5.448944564e+00
1.510651524e+00 4.889157843e+00 3.598454736e-01 0.000000000e+00 4.827384548e+00
-1.286292518e+00 3.172009159e+00 2.897878793e-01 0.000000000e+00 5.259646596e+00
7.130304810e-01 1.919921804e+00 2.169057177e-01 0.000000000e+00 3.912494844e+00
-3.569017639e-02 5.028255912e+00 4.980199036e-03 0.000000000e+00 5.846922408e+00
-6.892326942e-01 5.700728923e+00 3.032753459e-01 0.000000000e+00 3.210883174e+00
1.209937038e+00 4.382841715e+00 1.691876209e-01 0.000000000e+00 4.833093685e+00
9.662664746e-01 2.252789786e+00 2.725046350e-01 0.000000000e+00 5.164310363e+00
-1.901296183e-01 3.869308537e+00 4.040549178e-01 0.000000000e+00 5.580413271e+00
4.447751007e-01 2.271351649e+00 3.832840149e-01 0.000000000e+00 4.048382910e+00
4.114626506e-01 3.963727297e+00 2.936619584e-01 0.000000000e+00 5.250094333e+00
-1.543508686e+00 1.712346915e+00 1.506251010e-01 0.000000000e+00 4.111782181e+00
-8.739927889e-01 1.159577899e+00 1.198071054e-01 0.000000000e+00 3.404193017e+00
-8.889566598e-01 3.617337868e+00 4.886601641e-01 0.000000000e+00 4.215496871e+00
-8.783552528e-01 2.460672095e+00 5.146240375e-02 0.000000000e+00 5.554452926e+00
7.571708511e-01 6.588457457e-01 1.419965853e-01 0.000000000e+00 4.332713990e+00
1.386479590e+00 2.324783168e+00 2.247830636e-01 0.000000000e+00 4.685448654e+00
-7.333868800e-01 3.997735891e+00 1.872506895e-01 0.000000000e+00 4.472005853e+00
7.764381885e-01 5.569310463e+00 3.699770992e-01 0.000000000e+00 4.303029453e+00
-1.563496819e+00 5.736519295e+00 1.302936692e-01 0.000000000e+00 3.337773213e+00
9.713788466e-01 5.414559244e+00 4.262529232e-01 0.000000000e+00 4.233810378e+00
9.633799215e-01 6.144529678e+00 5.010483565e-02 0.000000000e+00 3.339242553e+00
-1.398767427e+00 1.892132506e+00 2.337544735e-01 0.000000000e+00 4.114488255e+00
-1.259340072e+00 5.947686497e+00 7.727990442e-02 0.000000000e+00 3.281592969e+00
1.671314270e-01 2.973990308e+00 2.259821229e-01 0.000000000e+00 4.263237154e+00
8.255391349e-01 2.305712721e+00 3.430350049e-01 0.000000000e+00 3.923422145e+00
7.251240827e-01 2.378794112e+00 4.365717234e-01 0.000000000e+00 5.280427916e+00
5.729590787e-01 6.081201870e+00 2.683658470e-01 0.000000000e+00 5.445400051e+00
8.245367098e-01 6.229952148e+00 2.958188251e-01 0.000000000e+00 4.048956993e+00
3.121553315e-01 6.094941223e+00 5.512996905e-02 0.000000000e+00 3.939846555e+00
-8.306010490e-01 4.949562155e+00 3.982201548e-01 0.000000000e+00 4.089436693e+00
-1.481887544e+00 1.257268062e-01 1.774426013e-01 0.000000000e+00 4.558740829e+00
1.292662132e+00 1.771897735e+00 2.953105554e-01 0.000000000e+00 3.756248050e+00
-2.697869172e-01 3.150421808e+00 4.282669732e-01 0.000000000e+00 4.169078995e+00
7.016772127e-01 2.255813558e+00 4.077512284e-01 0.000000000e+00 5.421511778e+00
-7.349142568e-01 1.759130683e+00 1.354111202e-01 0.000000000e+00 6.151893500e+00
1.508360473e+00 5.903523915e+00 2.878635885e-01 0.000000000e+00 3.631574549e+00
-1.010797392e+00 2.673824441e+00 2.393228181e-01 0.000000000e+00 4.872326684e+00
-1.422676166e+00 2.094662374e+00 2.417531545e-01 0.000000000e+00 3.488710330e+00
-1.847636151e-02 4.083765848e+00 3.142007668e-02 0.000000000e+00 3.299366135e+00
-4.065385715e-01 2.130556375e+00 3.986048247e-01 0.000000000e+00 5.752374020e+00
4.885031646e-01 5.716697395e+00 4.390124293e-01 0.000000000e+00 5.569220934e+00
-1.569855156e+00 4.029343111e+00 2.376754385e-01 0.000000000e+00 5.051205588e+00
-1.120933763e+00 2.186440262e+00 3.102597280e-02 0.000000000e+00 4.695701290e+00
1.127184263e+00 4.769250124e-01 1.323908464e-01 0.000000000e+00 4.704515654e+00
5.740233051e-01 7.879368628e-01 8.413510011e-02 0.000000000e+00 4.130559793e+00
-5.274154185e-01 4.048595641e+00 4.151255932e-01 0.000000000e+00 5.361239600e+00
-1.492077135e+00 5.102842533e+00 3.180236689e-01 0.000000000e+00 3.630648547e+00
-1.437482842e+00 2.998785356e+00 2.144887483e-01 0.000000000e+00 3.600590589e+00
-3.467109094e-01 4.064337136e-01 7.741526055e-02 0.000000000e+00 5.975173160e+00
1.391055523e+00 3.287569076e+00 3.188619803e-02 0.000000000e+00 4.240849294e+00
1.314441899e+00 1.690040439e+00 2.456291850e-01 0.000000000e+00 3.218768035e+00
-5.817573221e-01 2.564905406e+00 3.912552011e-01 0.000000000e+00 6.170261543e+00
-4.012261881e-01 3.643679669e+00 9.799764184e-03 0.000000000e+00 5.484684853e+00
-7.324058069e-01 1.525214257e+00 3.728152595e-01 0.000000000e+00 5.312317321e+00
-1.124515783e+00 7.961854273e-01 3.045172592e-01 0.000000000e+00 5.312978749e+00
2.873681590e-01 2.003412991e+00 2.780181740e-01 0.000000000e+00 5.849360423e+00
-1.159300106e-01 3.461680448e+00 1.241244401e-01 0.000000000e+00 3.185446200e+00
1.052937229e+00 4.077493931e+00 4.937717787e-01 0.000000000e+00 4.801299015e+00
-1.433740052e-02 4.365722575e+00 3.518012993e-01 0.000000000e+00 5.595135571e+00
-1.514376397e+00 5.492260332e+00 3.162683852e-01 0.000000000e+00 4.209862556e+00
-1.950106150e-01 2.368891435e-01 3.888923027e-01 0.000000000e+00 5.193552326e+00
-1.149119384e+00 4.192232396e+00 3.014987925e-01 0.000000000e+00 4.796397920e+00
-5.262609550e-01 5.910486100e+00 4.090282045e-01 0.000000000e+00 4.983759672e+00
4.090478553e-03 4.431468444e+00 2.176106845e-02 0.000000000e+00 3.401542990e+00
1.361777530e-01 2.908102871e+00 1.469314653e-01 0.000000000e+00 3.795901611e+00
6.118255490e-01 5.631737091e-01 2.835356164e-01 0.000000000e+00 3.835318549e+00
1.457574641e+00 4.834099813e+00 2.260116015e-01 0.000000000e+00 5.498056196e+00
-3.928088913e-01 4.232127104e+00 3.827155061e-01 0.000000000e+00 6.230683063e+00
8.017920922e-01 1.869260830e+00 1.926644244e-01 0.000000000e+00 3.188664841e+00
8.942638056e-02 1.837215430e+00 3.098111568e-01 0.000000000e+00 5.879190503e+00
1.144942790e+00 2.201239955e+00 3.693839723e-01 0.000000000e+00 4.052387511e+00
1.910658501e-01 6.027515567e+00 2.229130499e-01 0.000000000e+00 5.133072592e+00
-3.700884012e-01 1.384486797e+00 2.389392845e-01 0.000000000e+00 5.612242717e+00
-1.196687324e-04 3.344724725e+00 1.071850391e-02 0.000000000e+00 4.325343138e+00
9.337690738e-02 4.757530036e+00 3.228706772e-01 0.000000000e+00 5.247378603e+00
1.524852955e+00 4.671124931e+00 3.106547457e-01 0.000000000e+00 4.189167105e+00
-1.377576483e+00 3.011634677e+00 2.351115745e-01 0.000000000e+00 4.854404811e+00
-1.429180749e+00 1.987421578e+00 3.631705703e-02 0.000000000e+00 3.688246351e+00
-9.598201551e-01 2.359919077e+00 1.721382367e-01 0.000000000e+00 5.715325209e+00
-1.557726357e+00 1.728984572e+00 4.102277592e-01 0.000000000e+00 4.175912976e+00
-1.237752910e+00 4.719550798e+00 3.054633746e-01 0.000000000e+00 3.862497986e+00
-3.314655143e-01 1.060268872e+00 2.833602887e-01 0.000000000e+00 4.569636513e+00
-9.268310664e-01 5.724166943e+00 1.714485968e-01 0.000000000e+00 5.461348842e+00
-5.662874150e-02 7.213156015e-01 6.877239076e-02 0.000000000e+00 5.015980501e+00
1.084556455e+00 4.619736508e+00 3.726608776e-01 0.000000000e+00 4.083644781e+00
4.347902035e-01 1.133930148e+00 2.655688955e-01 0.000000000e+00 4.691124581e+00
8.397371095e-01 2.554779470e+00 3.318360059e-01 0.000000000e+00 6.238076476e+00
1.037920269e+00 6.069961175e-01 4.813859115e-01 0.000000000e+00 5.414159261e+00
-1.171409992e+00 2.108980268e+00 3.891435897e-01 0.000000000e+00 3.577195618e+00
-1.431001050e+00 5.546157432e+00 3.086178003e-01 0.000000000e+00 3.672481396e+00
-1.626610318e-01 1.599848013e+00 9.859838631e-02 0.000000000e+00 3.722198244e+00
-1.050155556e-01 2.198463456e+00 1.293877599e-01 0.000000000e+00 4.571306602e+00
1.445239908e+00 3.880687773e+00 1.754804741e-01 0.000000000e+00 5.013210981e+00
-7.604898585e-01 5.090972060e+00 4.617806769e-01 0.000000000e+00 4.386227575e+00
-1.754922365e-01 3.556567957e+00 2.313287920e-01 0.000000000e+00 4.444234438e+00
1.852863110e-01 2.895791524e+00 1.630567538e-01 0.000000000e+00 4.028715306e+00
1.098964910e+00 1.081259427e+00 2.891004735e-01 0.000000000e+00 4.946525225e+00
-1.176467152e+00 3.991113769e+00 6.705000558e-02 0.000000000e+00 5.667538029e+00
1.345494328e+00 2.185101894e+00 1.405658348e-02 0.000000000e+00 4.466695367e+00
2.502863753e-01 9.395827006e-01 2.021898526e-01 0.000000000e+00 4.800996014e+00
-1.176450902e-01 1.145226335e+00 4.284967925e-01 0.000000000e+00 5.984546577e+00
-1.777436688e-01 1.513155603e+00 2.636905432e-01 0.000000000e+00 4.655623329e+00
-1.413342113e+00 6.231201347e+00 3.078723145e-01 0.000000000e+00 4.037904937e+00
-7.064180619e-01 3.191274713e+00 5.468010441e-02 0.000000000e+00 4.890244435e+00
3.765776442e-01 2.975082457e+00 8.981625444e-02 0.000000000e+00 3.753809795e+00
1.315698237e+00 1.836285009e+00 4.472842876e-01 0.000000000e+00 4.897957581e+00
1.320942947e+00 2.840277800e+00 4.466064981e-01 0.000000000e+00 3.144692007e+00
-7.659604113e-01 6.437210084e-01 2.532841520e-01 0.000000000e+00 6.231394526e+00
1.134994743e-01 1.715215680e+00 4.994830102e-01 0.000000000e+00 4.791950706e+00
-6.093981741e-01 9.753231831e-01 3.036037106e-01 0.000000000e+00 4.394358105e+00
-4.149456704e-01 1.566378280e+00 1.071663039e-01 0.000000000e+00 5.415312021e+00
-4.675549351e-01 1.449517991e+00 4.819560239e-02 0.000000000e+00 5.795198068e+00
-2.109837220e-01 3.357768629e+00 4.312130367e-01 0.000000000e+00 5.639969299e+00
-1.559757038e+00 2.142823857e+00 7.279895318e-02 0.000000000e+00 6.131163038e+00
-1.417120367e-01 5.805442922e+00 2.425637606e-01 0.000000000e+00 5.284788122e+00
-5.841687606e-01 2.290955226e+00 1.660038112e-02 0.000000000e+00 5.170350924e+00
-7.421402595e-01 1.729389367e+00 3.754170004e-01 0.000000000e+00 3.973969172e+00
2.273769287e-01 3.734003836e+00 1.886435508e-01 0.000000000e+00 5.385033956e+00
-2.820141588e-02 5.160784163e+00 4.938694159e-01 0.000000000e+00 6.193718625e+00
6.898230213e-01 6.099787737e+00 1.611266690e-01 0.000000000e+00 5.603613301e+00
-1.137106701e-01 5.265920415e+00 1.468076709e-01 0.000000000e+00 6.250892699e+00
1.102496270e+00 3.974070106e+00 1.324660289e-01 0.000000000e+00 5.338299059e+00
9.053645881e-01 2.042395398e+00 6.133085806e-03 0.000000000e+00 6.087113655e+00
1.288883847e-01 3.876274285e+00 1.507323673e-01 0.000000000e+00 4.040481404e+00
